"id","name","short_description","parent_id","category","category_name","updated"
"aws_app_mesh","AWS App Mesh","Service mesh for application level networking by Amazon",,"remoting","Remoting","2020-05-20T18:41:54.753Z"
"aws_app_sync","AWS AppSync","GraphQL service by Amazon",,"database","Database","2020-05-20T18:41:27.040Z"
"aws_auto_scaling","AWS Application Auto Scaling","Auto-scaling service by Amazon",,"cloud","Cloud","2020-05-20T18:42:24.347Z"
"aws_backup","AWS Backup","Managed backup service by Amazon",,"file_transfer","File Transfer","2020-05-20T18:42:42.475Z"
"aws_batch","AWS Batch","Batch computing by Amazon",,"remoting","Remoting","2020-05-20T18:43:46.479Z"
"aws_beanstalk","AWS Elastic Beanstalk","Web application scaling by Amazon",,"remoting","Remoting","2020-05-20T18:44:34.898Z"
"aws_billing","AWS Billing","Billing and cost management service by Amazon",,"shopping","Shopping","2020-05-20T18:44:57.687Z"
"aws_cert_mgr","AWS Certificate Manager","SSL Certificate management service by Amazon",,"networking","Networking","2020-05-20T18:46:02.498Z"
"aws_cloud9","AWS Cloud9","Cloud integrated development environment by Amazon",,"productivity","Productivity","2020-05-30T19:57:27.148Z"
"aws_cloudformation","AWS CloudFormation","Cloud infrastructure resource management by Amazon",,"cloud","Cloud","2020-05-30T19:57:47.263Z"
"aws_cloudhsm","AWS CloudHSM","Cloud hardware security module by Amazon",,"cloud","Cloud","2020-05-20T18:48:17.899Z"
"aws_cloud_map","AWS Cloud Map","Cloud resource discovery service by Amazon",,"remoting","Remoting","2020-05-20T18:48:42.736Z"
"aws_cloudtrail","AWS CloudTrail","Cloud governance, compliance, and risk auditing by Amazon",,"remoting","Remoting","2020-05-20T18:49:35.506Z"
"aws_codebuild","AWS CodeBuild","Managed continuous integration service by Amazon",,"productivity","Productivity","2020-05-30T19:58:06.941Z"
"aws_codecommit","AWS CodeCommit","Cloud managed source control service by Amazon",,"productivity","Productivity","2020-05-30T19:58:22.249Z"
"aws_codedeploy","AWS CodeDeploy","Managed deployment service by Amazon",,"productivity","Productivity","2020-05-30T19:58:51.959Z"
"aws_codepipeline","AWS CodePipeline","Managed continuous delivery service by Amazon",,"productivity","Productivity","2020-05-30T19:59:16.336Z"
"aws_codestar","AWS CodeStar","Develop, build and deploy applications by Amazon",,"productivity","Productivity","2020-05-30T19:59:34.415Z"
"aws_config","AWS Config","Cloud service configuration by Amazon",,"remoting","Remoting","2020-05-20T18:54:58.836Z"
"aws_console","AWS Console","Management console for managing AWS",,"cloud","Cloud","2020-05-27T00:45:38.120Z"
"aws_datapipeline","AWS Data Pipeline","Process data between services by Amazon",,"database","Database","2020-05-20T18:55:54.261Z"
"aws_datasync","AWS DataSync","Synchronize data service by Amazon",,"file_transfer","File Transfer","2020-06-01T00:11:25.647Z"
