"id","name","short_description","parent_id","category","category_name","updated"
"browsecvpn","Browsec VPN","Multi-protocol Virtual Private Network.",,"remoting","Remoting","2020-05-26T00:01:56.468Z"
"bubbly","Bubbly","Mobile social voice service",,"social","Social","2020-05-20T21:58:36.872Z"
"bugsnag","Bugsnag","Application stability and error monitoring",,"other","Other","2020-07-03T20:29:46.618Z"
"bugzilla","Bugzilla","Bug tracking system",,"productivity","Productivity","2020-05-30T22:06:58.492Z"
"bumble","Bumble","Location-based social and dating application",,"social","Social","2020-05-20T22:00:04.618Z"
"buncee","Buncee","Content creation and presentation service",,"education","Education","2020-05-30T22:07:16.906Z"
"bunny_pop","Bunny Pop!","Puzzle game",,"gaming","Gaming","2020-05-20T22:03:33.469Z"
"buzzfeed","Buzzfeed","American media and news",,"news","News","2020-05-20T22:03:48.358Z"
"byjus","BYJU'S","Elearning and online tutoring",,"education","Education","2020-05-30T22:07:30.319Z"
"bypassthat","Bypassthat","Web proxy service",,"remoting","Remoting","2020-05-20T22:06:11.140Z"
"bytedance","ByteDance","Content delivery platform",,"cloud","Cloud","2020-05-31T23:24:43.214Z"
"cacaoweb","Cacaoweb","Peer-to-peer file sharing",,"p2p","Peer-to-peer File Sharing","2020-06-01T15:38:19.149Z"
"cactusvpn","CactusVPN","Multi-protocol Virtual Private Network",,"remoting","Remoting","2020-05-20T22:11:22.244Z"
"cadence_of_hyrule","Cadence of Hyrule","Roguelike rhythm video game",,"gaming","Gaming","2020-09-11T21:06:39.206Z"
"caesars_casino","Caesars Casino Official Slots","Casino gambling slots game",,"gaming","Gaming","2020-05-20T22:14:22.764Z"
"caicci","CAICCI","CA International Common Communications Interface",,"networking","Networking","2020-05-20T22:14:42.047Z"
"call_of_duty"," Call of Duty®: Mobile","First-person shooter game",,"gaming","Gaming","2020-05-20T22:15:12.196Z"
"callstats","Callstats.io","WebRTC optimization service",,"other","Other","2020-05-20T22:15:59.998Z"
"calm","Calm","Meditation and sleep app",,"health","Health & Fitness","2020-08-07T18:54:42.207Z"
"camfrog","Camfrog","Video chat and instant messaging client",,"social","Social","2020-05-20T22:16:29.791Z"
"candycrush","Candy Crush Saga","Puzzle game",,"gaming","Gaming","2020-05-20T22:16:42.321Z"
"canon","Canon Printer","Traffic related to printers, scanner or compact digital cameras",,"networking","Networking","2020-05-20T22:17:13.954Z"
"canvas","Canvas","Learning management system for schools",,"education","Education","2020-05-30T22:07:43.409Z"
"capstone_interactive","Capstone Interactive","Interactive eBooks service",,"education","Education","2020-06-26T22:47:10.108Z"
"capwap","CAPWAP","Control And Provisioning of Wireless Access Points protocol",,"networking","Networking","2020-05-20T22:17:52.948Z"
"carbonite","Carbonite","Cloud backup service",,"file_transfer","File Transfer","2020-05-20T22:18:19.997Z"
"cash_app","Cash App","Mobile payment service by Square",,"shopping","Shopping","2020-06-03T23:56:05.682Z"
"cash_frenzy","Cash Frenzy","Online casino app",,"gaming","Gaming","2020-07-30T23:07:02.178Z"
"castanet","Castanet","Canadian national, local and world news and classifieds",,"news","News","2020-05-20T22:19:20.884Z"
"catdaddy","Cat Daddy Games","Game traffic",,"gaming","Gaming","2020-05-20T22:19:43.651Z"
"cbcgem","CBC Gem","Live and OnDemand TV",,"video","Video","2020-08-14T01:02:25.327Z"
"cbs","CBS","American broadcast television and radio network",,"video","Video","2020-05-20T22:20:27.711Z"
"cbs_all_access","CBS All Access","Streaming video on-demand service by CBS",,"video","Video","2020-05-20T22:20:59.753Z"
"cbs_news","CBS News","News by CBS",,"news","News","2020-05-20T22:21:20.758Z"
"cbs_sports","CBS Sports","Sports by CBS",,"news","News","2020-05-20T22:21:38.008Z"
"ccproxy","CCProxy","Web-based proxy service",,"remoting","Remoting","2020-05-20T22:21:51.203Z"
"cedato","Cedato","Video advertising platform",,"advertising","Advertising","2020-05-20T22:22:36.552Z"
"cedexis","Cedexis","Software defined application delivery platform",,"advertising","Advertising","2020-05-20T22:23:09.372Z"
"celebrity_voice_changer","Celebrity Voice Changer","Voice changing app",,"audio","Audio","2020-06-24T00:27:14.571Z"
"celtra","Celtra","Creative management platform",,"advertising","Advertising","2020-05-20T22:55:43.448Z"
"centro","Centro","Media operation software for digital advertisers",,"advertising","Advertising","2020-05-20T22:56:20.399Z"
"century_tech","CENTURY Tech","Artificial intelligence teaching and learning platform for schools",,"education","Education","2020-05-30T22:07:58.597Z"
"cfdp","CFDP","Coherent File Distribution Protocol one-to-many file transfers",,"file_transfer","File Transfer","2020-05-20T22:57:42.814Z"
"chacha","ChaCha","Random video chat",,"social","Social","2020-05-20T22:58:16.049Z"
"chapters","Chapters","Interactive story game",,"gaming","Gaming","2020-07-31T01:52:52.280Z"
"chartbeat","Chartbeat","Measurement and monetization platform",,"advertising","Advertising","2020-05-20T22:58:40.919Z"
"chartboost","Chartboost","Mobile game discovery and monetization platform",,"advertising","Advertising","2020-05-20T22:59:07.960Z"
"chatango","Chatango","Chatango is a messenger app.",,"messaging","Messaging","2020-05-14T21:56:46.786Z"
"cheddar","Cheddar","Live streaming financial news network",,"video","Video","2020-05-20T23:00:57.164Z"
"cheetah_mobile","Cheetah Mobile","Mobile apps and utilities",,"other","Other","2020-05-20T23:02:06.860Z"
"chegg","Chegg","Online textbook rental service",,"education","Education","2020-05-30T22:08:10.922Z"
"choices","Choices: Stories You Play","Romance dating game",,"gaming","Gaming","2020-05-20T23:20:30.652Z"
"chrome_remote_desktop","Chrome Remote Desktop","Remote desktop software by Google",,"remoting","Remoting","2020-06-17T23:50:50.340Z"
"cigi","CIGI","Common Image Generator Interface host device communication",,"networking","Networking","2020-05-20T23:25:02.938Z"
"cisco_ip_sla","Cisco IP SLA","Internet Protocol Service Level Agreement",,"networking","Networking","2020-05-20T23:26:48.924Z"
"cisco_spark","Cisco Spark","Cloud collaboration suite for teams by Cisco",,"productivity","Productivity","2020-05-30T22:08:27.480Z"
"citrix","Citrix","Citrix networking or cloud traffic",,"remoting","Remoting","2020-05-21T18:09:36.744Z"
"clash_of_clans","Clash of Clans","Mobile strategy game",,"gaming","Gaming","2020-05-21T18:10:15.086Z"
"clash_of_king","Clash of Kings","Mobile strategy game",,"gaming","Gaming","2020-05-21T18:10:44.768Z"
"clash_royale","Clash Royale","Mobile strategy game",,"gaming","Gaming","2020-05-21T18:11:00.380Z"
"classdojo","ClassDojo","Class communication platform for students and parents",,"education","Education","2020-05-30T22:09:03.955Z"
"classmates","Classmates.com","Social networking service",,"social","Social","2020-05-21T18:11:56.448Z"
"classting","Classting","Classroom communication platform for students and parents",,"education","Education","2020-05-30T22:09:19.100Z"
"clearslide","ClearSlide","Sales engagement platform",,"business","Business","2020-05-30T22:09:45.453Z"
"clickmeeting","ClickMeeting","Browser based web conferencing software",,"messaging","Messaging","2020-05-21T18:13:26.770Z"
"clicktale","Clicktale","Customer experience platform",,"advertising","Advertising","2020-05-21T18:13:43.376Z"
"cloudads","Cloud Ads","Cloud advertising service",,"advertising","Advertising","2020-05-21T18:13:55.470Z"
"cloudapp","CloudApp","Video and image sharing platform",,"file_transfer","File Transfer","2020-05-21T18:14:24.655Z"
"cloudflare","Cloudflare","CDN service and web-infrastructure provider.",,"cloud","Cloud","2020-06-01T15:39:23.706Z"
"cloudvpn","Cloudvpn","Multi protocol Virtual Private Network.",,"remoting","Remoting","2020-05-25T23:48:58.435Z"
"cloudwall_vpn","Cloudwall VPN","Multi-protocol Virtual Private Network",,"remoting","Remoting","2020-05-21T18:14:51.401Z"
"clubbox","Clubbox","File sharing service",,"file_transfer","File Transfer","2020-05-21T18:15:05.811Z"
"club_cooee","Club Cooee","3D chat room and community",,"social","Social","2020-05-21T18:15:33.796Z"
"clubpenguin","Club Penguin","Massive multiplayer online virtual world game for children",,"gaming","Gaming","2020-05-21T18:17:28.595Z"
"cluep","Cluep","Mobile targeted advertising platform",,"advertising","Advertising","2020-05-21T18:18:13.112Z"
"c_me","C'Me","Video calling and chat",,"messaging","Messaging","2020-05-21T18:18:24.614Z"
"cmp","CMP","Certificate Management Protocol",,"networking","Networking","2020-05-21T18:18:58.399Z"
"cnbc","CNBC","American television business news",,"news","News","2020-05-21T18:19:19.941Z"
"cnet","CNET","Technology and consumer electronic reviews, news, blogs and videos",,"news","News","2020-05-21T18:20:32.998Z"
"cnn","CNN","American television news",,"news","News","2020-05-21T18:20:45.836Z"
"coap","CoAP","Constrained Application Protocol for constrained device communication",,"networking","Networking","2020-05-21T18:21:06.723Z"
"coco","Coco","Mobile voice messaging app",,"messaging","Messaging","2020-05-21T18:21:21.277Z"
"code42","Code 42","Backup service",,"file_transfer","File Transfer","2020-05-21T18:21:35.363Z"
"code_org","Code.org","Computer science education and lessons",,"education","Education","2020-05-30T22:10:01.926Z"
"codeweek","EU Code Week","Programming technology collaboration service",,"education","Education","2020-05-30T22:10:24.061Z"
"coffee_meets_bagel","Coffee Meets Bagel","Dating and social networking",,"social","Social","2020-05-21T18:23:39.927Z"
"coin_master","Coin Master","Battle raid mobile game",,"gaming","Gaming","2020-05-21T18:24:24.265Z"
"com2us","Com2uS","Com2uS game traffic",,"gaming","Gaming","2020-05-21T18:24:50.119Z"
"comixology","ComiXology","Cloud digital comic distribution service",,"other","Other","2020-05-21T18:25:14.154Z"
"commonsensemedia","Common Sense Media","Safe technology and media for children",,"education","Education","2020-05-30T22:10:47.048Z"
"comodo","Comodo","Endpoint protection and cyber security services",,"remoting","Remoting","2020-05-21T18:26:43.596Z"
"company_of_heroes","Company of Heroes","Real-time strategy video game developed by Relic Entertainment",,"gaming","Gaming","2020-08-28T17:14:25.908Z"
"concur","Concur","Travel and expense management service",,"business","Business","2020-05-30T22:11:08.661Z"
"confluence","Confluence","Collaboration wiki service provided by Atlassian",,"collaboration","Collaboration","2020-06-05T21:23:08.126Z"
"connections_cloud","Connections Cloud","Cloud email, meeting, instant messaging, and file sharing",,"productivity","Productivity","2020-05-30T22:11:57.804Z"
"connections_mc","Connections Meetings Cloud","Cloud web conferencing",,"messaging","Messaging","2020-05-22T18:56:46.524Z"
"connectivity_check","Connectivity Check","Captive portal or IoT device connectivity check",,"networking","Networking","2020-05-22T18:57:22.435Z"
"connectwise","ConnectWise","Customer relationship management, customer service and project management",,"business","Business","2020-05-30T22:12:10.327Z"
"connexity","Connexity","Targeted advertising platform",,"advertising","Advertising","2020-05-22T18:58:04.461Z"
"contobox","Contobox","Interactive advertising platform",,"advertising","Advertising","2020-06-25T21:43:54.801Z"
"conversant","Conversant","Targeted advertising platform",,"advertising","Advertising","2020-05-22T18:58:26.097Z"
"cops","Common Open Policy Service","Policy control of Quality of Service signalling protocols",,"networking","Networking","2020-05-22T18:59:19.151Z"
"cornerstone_ondemand","Cornerstone OnDemand","Cloud learning and talent management service",,"education","Education","2020-05-30T22:12:23.049Z"
"costco","Costco","Multinational membership-only retailer",,"shopping","Shopping","2020-09-15T17:03:26.845Z"
"counter_strike_go","Counter-Strike GO","Multiplayer first-person shooter video game",,"gaming","Gaming","2020-08-21T20:23:01.965Z"
"coursehero","Course Hero","Learning management platform",,"education","Education","2020-05-30T22:12:37.692Z"
"coursera","Coursera","Learning management platform",,"video","Video","2020-05-22T19:01:25.813Z"
"cowvpn","Cow VPN","Multi-protocol Virtual Private Network.",,"remoting","Remoting","2020-05-26T05:39:58.168Z"
"cpha","CPHA","Check Point High Availability Protocol",,"networking","Networking","2020-05-22T19:03:39.090Z"
"crackle","Crackle","Video streaming platform.",,"video","Video","2020-05-22T19:03:49.704Z"
"craigslist","Craigslist","Classified advertisements and forum",,"shopping","Shopping","2020-05-22T19:04:14.872Z"
"crashlytics","Crashlytics","Crash reporting, application logging, and analysis platform",,"advertising","Advertising","2020-05-22T19:05:02.169Z"
"crashplan","CrashPlan","Data protection services",,"file_transfer","File Transfer","2020-05-22T19:05:16.301Z"
"cravetv","Crave","Streaming video on-demand service",,"video","Video","2020-05-22T19:05:32.034Z"
"crazyremote","CrazyRemote","Remote control software",,"remoting","Remoting","2020-05-22T19:05:45.325Z"
"creative_cloud","Creative Cloud","Collection of software for graphic design, photo and video editing",,"video","Video","2020-05-22T19:06:15.161Z"
"credit_karma","Credit Karma","Credit and personal financial services",,"other","Other","2020-05-22T19:06:51.572Z"
"crisp_advertising","Crisp Advertising","Advertising service",,"advertising","Advertising","2020-05-22T19:07:12.795Z"
"criteo","Criteo","Personalized advertising platform",,"advertising","Advertising","2020-05-22T19:07:39.379Z"
"crossinstall","CrossInstall","Interactive mobile ad personalization service",,"advertising","Advertising","2020-06-25T21:08:01.499Z"
"crowmobi","Crowmobi","Performance based mobile advertising network",,"advertising","Advertising","2020-05-22T19:07:53.123Z"
"crunchyroll","Crunchyroll","Video streaming service",,"video","Video","2020-05-22T19:08:09.567Z"
"cryptoheaven","CryptoHeaven","Secure email service",,"messaging","Messaging","2020-05-22T19:09:35.725Z"
"csr_racing2","CSR Racing 2","Drag racing video game",,"gaming","Gaming","2020-06-03T23:58:25.187Z"
"ctdb","CTDB","Clustered trivial database by Samba",,"database","Database","2020-05-22T19:11:48.179Z"
"cubrid","CUBRID","Relational database management system",,"database","Database","2020-05-22T19:12:08.957Z"
"cuebiq","Cuebiq","Location intelligence and measurement service",,"advertising","Advertising","2020-05-22T19:12:25.839Z"
"cups","CUPS","Common UNIX Printing System",,"networking","Networking","2020-05-22T19:12:45.749Z"
"curiositystream","CuriosityStream","On-demand streaming video service for documentaries",,"video","Video","2020-05-22T19:13:03.777Z"
"cyberghost","CyberGhost","Anonymous Virtual Private Network",,"remoting","Remoting","2020-05-22T19:13:26.419Z"
"cyberlink","CyberLink","Video and photo editing, and backup services",,"other","Other","2020-05-22T19:14:02.362Z"
"cyberlink_call","CyberLink Call","Voice and video calling by CyberLink","cyberlink","messaging","Messaging","2020-08-14T00:07:32.944Z"
"cyptic_studios","Cryptic Studios","Video game traffic",,"gaming","Gaming","2020-06-04T01:02:09.468Z"
"dacor_iq","Dacor iQ","Control Dacor appliances",,"device","Smart Device","2020-05-31T23:56:14.168Z"
"dailyinnovation","Daily Innovation","Video game traffic",,"gaming","Gaming","2020-05-22T19:14:51.179Z"
"dailymotion","Dailymotion","Video streaming and sharing platform",,"video","Video","2020-05-22T19:16:20.810Z"
"dameware","Dameware","Remote control software",,"remoting","Remoting","2020-05-22T19:16:44.459Z"
"dash_vpn","Dash VPN","Multi-protocol Virtual Private Network.",,"remoting","Remoting","2020-05-26T00:01:13.951Z"
"dataxu","dataxu","Targeted advertising platform",,"advertising","Advertising","2020-05-22T19:17:22.781Z"
"daum","Daum","Shopping, news, email and messaging services",,"other","Other","2020-05-22T19:18:06.692Z"
"daum_mail","Daum Mail","Web-based email by Daum",,"messaging","Messaging","2020-05-22T19:18:23.420Z"
"dauntless","Dauntless","Action role-playing video game",,"gaming","Gaming","2020-05-22T19:18:32.376Z"
"dayz","DayZ","Survival video game",,"gaming","Gaming","2020-09-22T17:57:01.551Z"
"dazn","DAZN","Sports video streaming service",,"video","Video","2020-06-04T00:07:04.858Z"
"db_legends","Dragon Ball Legends","Mobile RPG video game",,"gaming","Gaming","2020-06-04T00:07:44.147Z"
"dddp","AMX Dynamic Device Discovery","Audio/video network protocol",,"networking","Networking","2020-05-22T19:19:57.118Z"
"dead_by_daylight","Dead by Daylight","Survival horror video game",,"gaming","Gaming","2020-09-22T18:10:32.962Z"
"dealsea","Dealsea.com","Shopping notification service",,"shopping","Shopping","2020-05-22T19:20:19.941Z"
"deezer","Deezer","Music streaming service",,"audio","Audio","2020-06-23T23:13:37.521Z"
"deluge","Deluge","BitTorrent client",,"p2p","Peer-to-peer File Sharing","2020-06-01T15:39:50.297Z"
"demonware","Demonware","Game matchmaking and data analytics service.",,"gaming","Gaming","2020-07-02T17:30:34.660Z"
"design_home","Design Home","Interior decoration video game",,"gaming","Gaming","2020-05-22T19:21:54.474Z"
"destiny_2","Destiny 2","Multiplayer first-person shooter video game ",,"gaming","Gaming","2020-08-14T21:41:09.734Z"
"deviantart","DeviantArt","Artwork, videography and photography social communitiy",,"photo","Photo","2020-05-22T19:22:17.802Z"
"dhcp","DHCP","Standard network protocol for host configuration",,"networking","Networking","2020-05-22T19:22:45.716Z"
"dhcpv6","DHCPv6","Standard network protocol for host configuration",,"networking","Networking","2020-05-22T19:23:07.525Z"
"dh_games","DH Games","Android video games",,"gaming","Gaming","2020-05-22T19:52:14.215Z"
"diablo3","Diablo 3","Role-playing video game",,"gaming","Gaming","2020-05-22T19:52:25.763Z"
"diamantedesk","DiamanteDesk","Open source help-desk software",,"business","Business","2020-05-31T02:46:16.329Z"
"diameter","Diameter","Authentication, authorization, and accounting protocol for networks",,"networking","Networking","2020-05-22T19:54:16.415Z"
"diandianchong","DianDianChong","Messaging app by Alibaba",,"messaging","Messaging","2020-05-22T19:54:33.042Z"
"diandianchong_call","DianDianChong Call","Video and voice calling by Diandianchong","diandianchong","messaging","Messaging","2020-08-14T00:07:59.456Z"
"dicom","DICOM","Digital Imaging and Communications in Medicine protocol",,"file_transfer","File Transfer","2020-05-22T19:55:47.573Z"
"digicert","DigiCert","Digital certificate authority",,"advertising","Advertising","2020-05-22T19:56:24.443Z"
"dingtalk","DingTalk","Collaboration and messaging app",,"messaging","Messaging","2020-05-22T19:56:37.958Z"
"dingtalk_call","DingTalk Call","Voice and video calling by DingTalk","dingtalk","messaging","Messaging","2020-08-14T00:08:25.099Z"
"directv_now","DirecTV Now","Subscription video streaming service",,"video","Video","2020-05-22T19:58:41.700Z"
"discord","Discord","VoIP application for gaming communities",,"messaging","Messaging","2020-05-22T19:59:01.620Z"
"discovery_education","Discovery Education","Educational digital content",,"education","Education","2020-05-31T02:46:38.667Z"
"dishanywhere","DISH Anywhere","Subscription based streaming service",,"video","Video","2020-05-22T20:02:14.922Z"
"disney","Disney","Media and entertainment services",,"other","Other","2020-05-22T20:03:26.615Z"
"disney_game","Disney Game","Traffic related to games from Disney",,"gaming","Gaming","2020-08-08T00:20:37.663Z"
"disney_plus","Disney+","Subscription video on-demand streaming service",,"video","Video","2020-05-22T20:05:52.734Z"
"dispersy","Dispersy","Identity and message for distributed communities",,"database","Database","2020-06-04T04:11:51.778Z"
"disqus","Disqus","Comment hosting service for online communities",,"business","Business","2020-06-03T22:42:12.648Z"
"distcc","Distcc","Distributed software building service",,"remoting","Remoting","2020-05-22T20:12:15.723Z"
"distractify","Distractify","News, entertainment and pop culture content",,"news","News","2020-06-04T00:08:10.581Z"
"district_m","District M","Targeted advertising platform",,"advertising","Advertising","2020-05-22T20:17:08.655Z"
"dixa","Dixa","Cloud customer service software",,"business","Business","2020-05-31T02:47:53.953Z"
"dlive","DLive","Live-streaming video community",,"video","Video","2020-05-22T20:24:33.907Z"
"dmp","DMP","Data Management Protocol",,"networking","Networking","2020-05-22T20:33:04.490Z"
"dnp3","DNP3","Process automation system communication protocol",,"networking","Networking","2020-05-22T20:33:44.056Z"
"dns","DNS","Decentralized naming system for computer resources",,"networking","Networking","2020-05-22T20:34:11.794Z"
"dnscrypt","DNSCrypt","Authentication and communication protocol for DNS",,"networking","Networking","2020-05-22T20:34:31.468Z"
"docker","Docker","Automates deployment of Linux applications inside containers",,"other","Other","2020-05-31T23:26:50.894Z"
"docusign","DocuSign","Electronic signature and digital transaction management service",,"business","Business","2020-05-31T02:48:08.793Z"
"dofus","Dofus","Tactical turn-based RPG video game",,"gaming","Gaming","2020-05-22T20:36:03.016Z"
"dogecoin","Dogecoin","Cryptocurrency",,"file_transfer","File Transfer","2020-05-22T20:36:34.092Z"
"doh","DNS over HTTPS","Protocol for performing naming resolution over HTTPS",,"networking","Networking","2020-06-19T16:06:34.742Z"
"doodle","Doodle","Appointment scheduling service",,"business","Business","2020-05-31T02:48:32.944Z"
"doordash","DoorDash","On-demand courier service",,"shopping","Shopping","2020-05-22T20:37:30.610Z"
"dot","Dot","Mobile video game",,"gaming","Gaming","2020-05-22T20:37:40.794Z"
"dota_2","Dota 2","Multiplayer online battle arena video game",,"gaming","Gaming","2020-05-22T20:37:55.728Z"
"dotdash","Dotdash","American digital media content provider",,"news","News","2020-05-22T20:38:24.723Z"
"dotvpn","DotVPN","Multi protocol Virtual Private Network.",,"remoting","Remoting","2020-05-25T23:53:47.232Z"
"douban","Douban","Social network service",,"social","Social","2020-05-22T20:38:54.429Z"
"doubleclick","DoubleClick","Targeted advertising platform",,"advertising","Advertising","2020-05-22T20:39:17.156Z"
"doubleverify","DoubleVerify","Online media verification and campaign services",,"advertising","Advertising","2020-05-22T20:41:43.850Z"
"douquzhibo","Douquzhibo","Live streaming social networking app",,"social","Social","2020-05-22T20:42:06.283Z"
"douyu_tv","Douyu TV","Social media video streaming app",,"social","Social","2020-05-22T20:42:17.687Z"
"down_dating","DOWN Dating","Online dating app",,"social","Social","2020-05-22T20:54:21.093Z"
"dragalia_lost","Dragalia Lost","Action role-playing game",,"gaming","Gaming","2020-05-22T20:57:18.455Z"
"dragon_ball_z","Dragon Ball Z","Mobile action puzzle game",,"gaming","Gaming","2020-05-22T20:58:04.162Z"
"dragon_city","Dragon City","Social networking game",,"gaming","Gaming","2020-05-22T20:58:21.911Z"
"dragon_quest_builders","Dragon Quest Builders","Sandbox action role-playing video game",,"gaming","Gaming","2020-08-29T00:21:58.927Z"
"dragon_quest_builders_2","Dragon Quest Builders 2","Sandbox action role-playing video game",,"gaming","Gaming","2020-08-29T00:26:16.881Z"
"drawbridge","Drawbridge","Customer identity services",,"advertising","Advertising","2020-05-22T20:59:31.431Z"
"draw_it","Draw It!","Drawing video game",,"gaming","Gaming","2020-05-22T21:01:07.282Z"
"draw_line","Draw Line","Puzzle video game",,"gaming","Gaming","2020-05-22T21:01:16.615Z"
"drda","DRDA","Database interoperability standard protocol",,"database","Database","2020-05-22T21:02:15.599Z"
"dreambox","DreamBox","Online mathematics education service",,"education","Education","2020-07-10T01:05:02.229Z"
"dreame","Dreame","Reading app for remail readers",,"other","Other","2020-07-24T21:45:48.245Z"
"droidvpn","DroidVPN","Multi protocol Virtual Private Network.",,"remoting","Remoting","2020-05-25T23:56:29.364Z"
"dropbox","Dropbox","File hosting and sharing service",,"file_transfer","File Transfer","2020-05-22T21:02:42.276Z"
"dropsend","DropSend","Large file sharing software",,"file_transfer","File Transfer","2020-05-22T21:03:00.850Z"
"drum_pad_machine","Drum Pad Machine","DJ beats music mixer app",,"audio","Audio","2020-07-31T17:53:50.863Z"
"dstillery","Dstillery","Targeted advertising platform",,"advertising","Advertising","2020-05-22T21:04:01.337Z"
"dtcp","DTCP","Digital Transmission Content Protection protocol",,"networking","Networking","2020-05-22T21:07:02.699Z"
"dtls","DTLS","Datagram Transport Layer Security communications protocol",,"networking","Networking","2020-05-22T21:09:45.846Z"
"duckduckgo","DuckDuckGo","Internet search engine with privacy",,"other","Other","2020-05-22T21:10:28.211Z"
"duo","Duo","Video chat mobile app",,"messaging","Messaging","2020-05-22T21:13:18.730Z"
"duolingo","Duolingo","Language learning platform",,"education","Education","2020-05-31T02:48:46.139Z"
"earthcam","EarthCam","Webcam content and services",,"video","Video","2020-05-22T21:14:19.454Z"
"easyanticheat","Easy Anti-Cheat","Game anti-cheat service",,"gaming","Gaming","2020-05-22T21:21:17.192Z"
"easychat","EasyChat","Instant messaging app",,"messaging","Messaging","2020-05-22T21:21:48.759Z"
"easyprojects","Easy Projects","Project management software",,"productivity","Productivity","2020-06-04T00:08:39.334Z"
"ebaumsworld","eBaum's World","Comedy and entertainment content",,"other","Other","2020-05-22T21:22:36.069Z"
"ebay","eBay","Online shopping and auction service",,"shopping","Shopping","2020-05-22T21:22:42.929Z"
"ebuddy","eBuddy","Instant messaging service",,"messaging","Messaging","2020-05-22T21:22:55.434Z"
"echelonfit","Echelon Fit","Streaming and on-demand fitness classes",,"health","Health & Fitness","2020-08-11T22:29:05.413Z"
"ecobee","ecobee","Home automation services",,"remoting","Remoting","2020-05-22T21:23:09.222Z"
"economist","The Economist","Weekly magazine format newspaper",,"news","News","2020-05-22T21:23:31.692Z"
"edmodo","Edmodo","K-12 classroom education services",,"education","Education","2020-05-31T02:49:13.748Z"
"edonkey","eDonkey","Decentralized peer-to-peer file sharing network",,"p2p","Peer-to-peer File Sharing","2020-06-01T15:40:12.736Z"
"edpuzzle","EDpuzzle","Educational video creation service",,"education","Education","2020-05-31T02:49:34.171Z"
"edraak","Edraak","Arabic language education resources",,"education","Education","2020-05-31T02:49:51.023Z"
"educaixa","EduCaixa","Learning management system",,"education","Education","2020-05-31T02:50:04.442Z"
"educationgalaxy","Education Galaxy Connect","Online educational program",,"education","Education","2020-07-24T22:27:12.476Z"
"edx","edX","Open online education provider",,"education","Education","2020-05-31T02:50:17.803Z"
"egd","EGD","Memory sharing protocol",,"networking","Networking","2020-05-22T21:28:53.452Z"
"egnyte","Egnyte","Enterprise file sharing and synchronization",,"file_transfer","File Transfer","2020-05-22T21:29:12.897Z"
"eharmony","eHarmony","Online dating service",,"social","Social","2020-05-22T21:29:55.020Z"
"ehow","eHow","Online how-to-guide",,"education","Education","2020-05-31T02:50:31.863Z"
"ekstep","EkStep","Open learning platform",,"education","Education","2020-05-31T02:50:45.933Z"
"elastic","Elasticsearch","Search engine based on Lucene",,"database","Database","2020-06-04T00:09:12.991Z"
"electronic_arts","Electronic Arts","Video game traffic",,"gaming","Gaming","2020-08-21T20:05:41.557Z"
"elex_wireless","Elex Wireless","Video game traffic",,"gaming","Gaming","2020-05-22T21:35:05.703Z"
"embedly","Embedly","Embed code management",,"advertising","Advertising","2020-05-22T21:35:29.615Z"
"emc_networker","EMC NetWorker","Enterprise level data protection",,"file_transfer","File Transfer","2020-05-22T21:35:47.606Z"
"empires","Empires & Puzzles: RPG Quest","RPG mobile game",,"gaming","Gaming","2020-05-22T21:36:00.254Z"
"eneza_education","Eneza Education","Mobile education platform",,"education","Education","2020-05-31T02:50:59.209Z"
"engadget","Engadget","Technology daily blog network ",,"news","News","2020-05-22T21:36:46.857Z"
"enip","EtherNet/IP","Standard industrial network protocol",,"networking","Networking","2020-05-22T21:38:55.863Z"
"entrust","Entrust","Identity based security service",,"advertising","Advertising","2020-05-22T21:39:27.401Z"
"eontv","EON TV","Streaming TV service",,"video","Video","2020-07-15T01:11:54.080Z"
"epic","Epic","Digital reading platform",,"education","Education","2020-07-03T23:07:54.279Z"
"epicgames","Epic Games","Video game traffic",,"gaming","Gaming","2020-08-13T23:48:55.257Z"
"epic_seven","Epic Seven","RPG mobile game",,"gaming","Gaming","2020-05-22T21:39:53.473Z"
"episode","Episode","Narrative stories app",,"gaming","Gaming","2020-05-22T21:42:11.561Z"
"epmd","EPMD","Erlang Port Mapper Daemon messages",,"networking","Networking","2020-05-22T21:42:29.866Z"
"eset","ESET","Anti-virus and firewall services",,"security","Security Software","2020-05-31T23:56:31.968Z"
"esio","ESIO","Data transfer protocol between controllers",,"networking","Networking","2020-05-22T21:44:37.341Z"
"eskimi","Eskimi","Mobile social network and advertising monetization",,"social","Social","2020-06-03T22:44:00.689Z"
"espn","ESPN","Sports television and news",,"news","News","2020-05-22T21:45:37.499Z"
"essaybot","Essaybot","AI writing tool",,"productivity","Productivity","2020-05-31T22:38:34.206Z"
"etos","Etos","Shopping and online retail",,"shopping","Shopping","2020-05-22T21:49:39.603Z"
"europeanschoolnetacademy","European Schoolnet Academy","Professional development platform",,"education","Education","2020-05-31T02:51:36.506Z"
"evernote","Evernote","Note taking and organization service",,"productivity","Productivity","2020-05-31T02:51:54.941Z"
"evidon","Evidon","Enterprise marketing analytics and compliance service",,"advertising","Advertising","2020-05-22T21:51:24.138Z"
"evil_factory","Evil Factory","Boss-battling action video game",,"gaming","Gaming","2020-05-22T21:51:49.677Z"
"evony","Evony","RPG video game",,"gaming","Gaming","2020-05-22T21:53:51.913Z"
